id,pathable
3,True
8,True
13,True
19,True
20,True
21,True
27,True
30,True
37,False
69,True
75,True
76,True
77,True
78,True
100,True
101,True
102,True
105,True
106,True
111,True
121,True
128,True
129,True
130,True
136,True
139,True
141,True
142,True
145,True
147,True
149,True
152,True
153,True
158,True
170,True
172,True
173,True
176,True
180,True
198,True
199,True
200,True
201,True
203,True
204,True
205,True
208,True
219,True
230,True
235,True
236,True
243,True
244,True
246,True
247,True
248,True
252,True
253,True
255,True
256,True
259,True
263,True
264,True
266,True
283,True
287,True
291,True
298,True
308,True
315,True
320,True
